code_cbna	libelle	AGEFLOW_MAX	AGEFLOW_MIN	C_Plant	CLONRATE	CNRATIO	DNA	ELLAER_INDK	ELLCONT	ELLCONT_INDK	ELLHUMUS_INDK	ELLLITE	ELLLITE_INDK	ELLMOIST	ELLMOIST_INDK	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLPH	ELLREAC_INDK	ELLSALT	ELLTEMP	ELLTEMP_INDK	FECUNDITY	GERMRATE	L_ANGLE	L_AREA	L_DRYM	L_FRESHM	L_THICK	LATSPR	LCCp	LD13C	LD15N	LDMC	Leaf_T_Strength	LKC	LNC	LPC	MAX_AGE	MOW_TOLERANCE_INDK	N_Plant	NBCHROM	Palatability	PL_H_flora_MIN	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	ROOT_DEPTH_INDK	SEED_LONGEVITY_INDK	SEEDH	SEEDL	SEEDM	SEEDW	SLA	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK_VAR	ELLCONT_INDK_VAR	ELLHUMUS_INDK_VAR	ELLLITE_INDK_VAR	ELLMOIST_INDK_VAR	ELLNIT_INDK_VAR	ELLREAC_INDK_VAR	ELLSALT_INDK	ELLTEMP_INDK_VAR	ENDEM	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_FORM	L_LONG	LHIST	LIFESPAN	LPERST_INDK	MAN_INFLUENCE_INDK	MEDIC_POISON_FX_INDK	MOW	MYCORR	NATURAL	NUTR	PLOIDY	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOTMET	ROSET	SEEDPROD	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY	CODE_CBNA
66	Amaranthus albus L.							2	6	3	2	8	5	3.5	2.5	1	7	3	8	3	0	8	4.5																				16		30	30	35	50	2.5		0.565	0.84	0.35	0.87				<				germinule	protogynous	Unassisted dispersal	anthropochory_epichory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		August	October	Pyxid				neophytes	spike-like panicle	panicle	mesomorphic	simple	summer green	Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian	diploid		anemogamous	unisexual and monoecious			Erosulate plant		no special organ to store energy	rrs		no vegetative dispersal parts	Herbaceous	66
70	Amaranthus blitoides S. Watson							2		3	2		4		2	1		4		4			4.5																																			<							anthropochory_epichory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		July	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		70
71	Amaranthus blitum L.							2	3	2	3	7.5	4	4	2.5	1	8	4		3		7	4																				17		10	32.5	25	50	2.5	3								=					protogynous	Unassisted dispersal	anthropochory_epichory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	September	Pyxid				presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	spike-like panicle	panicle	mesomorphic	full	summer green	Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian	diploid			unisexual and monoecious			Erosulate plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	71
73	Amaranthus blitum L. subsp. emarginatus (Moq. ex Uline & Bray) Carreter							2		2	2		4		3	1		4		3			4.5																																			<							anthropochory_epichory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		July	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		73
77	Amaranthus caudatus L.							2		1	2		4		2.5	1		4		4			5																																			=							anthropochory_epichory		scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	September					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible							anemogamous	unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		77
80	Amaranthus crispus (Lesp. & ThÚv.) N. Terrac.							2		4	2		4		2.5	1		4		3			4.5																																			<							anthropochory_epichory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		July	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		80
81	Amaranthus cruentus L.						1.1	2		2	2	8	4		2.5	1		4		4			4.5																				16.5		40		60	80				1		1				=					protogynous	Unassisted dispersal	anthropochory_epichory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	September	Pyxid				young species (neophytes)	spike-like panicle	panicle	mesomorphic	simple	summer green	Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian	diploid			unisexual and monoecious			Erosulate plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	81
83	Amaranthus deflexus L.							2		2	2	7	4	4	2.5	1	7	4	7	3		9	5																				17		20	30	30	40			0.5	1.05	0.31	0.625				<				germinule	protogynous	Unassisted dispersal	anthropochory_epichory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		July	September	Pyxid				neophytes	spike-like panicle	panicle	mesomorphic	simple	summer green	Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian	diploid		anemogamous	unisexual and monoecious			Erosulate plant		root swelling	crr		no vegetative dispersal parts	Herbaceous	83
85	Amaranthus graecizans L.							2		3	2		4		1.5	1		4		3			5																																			<							anthropochory_epichory		scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	September											Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible							anemogamous	unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		85
87	Amaranthus graecizans L. subsp. silvestris (Vill.) Brenan							2		2	2	8	4	3	2.5	1	8	4	9	3		9	5																						30		40	50										<						Unassisted dispersal	anthropochory_epichory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		July	September	Pyxid				neophytes	spike-like panicle	panicle				Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian			anemogamous	unisexual and monoecious					root swelling	crr		no vegetative dispersal parts	Herbaceous	87
88	Amaranthus hybridus L.						0.7	2		2	2	8	4		2.5	1		4		4			4.5																						40	60	57.5	80				1.1	0.54	1.08				<_=						Unassisted dispersal	anthropochory_epichory	7	in larger groups_scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)		small variation (I)		July	October_September	Pyxid				young species (archaeophytes)_young species (neophytes)	spike-like panicle	panicle				Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian				unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	88
91	Amaranthus hybridus L. var. erythrostachys Moq.							2		2	2		4		2.5	1		4		4			4.5																																			=							anthropochory_epichory		scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	September					young species (neophytes)						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		91
93	Amaranthus hybridus L. var. pseudoretroflexus (Thell.) Carretero							2		2	2		4		2.5	2		4		4			4.5																										3	3								<							anthropochory_epichory		in larger groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		July	September					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		93
98	Amaranthus palmeri S. Watson							3		4	1		4		2	3		3		3			5																																			<							epichory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					neophytes						Therophyte		decidous	indifferent (urbanoneutral)	edible								unisexual and dioecious					no special organ to store energy	crr		no vegetative dispersal parts		98
104	Amaranthus retroflexus L.						1.3	1	6	3	2	8	4	4	2.5	2	7	4	7	3	0	7	4				9.9375	0.03447	0.130335						219.19								16.5		40	60.25	57	90	3.5	4	0.71	1.18	0.4115	1.04	16.96			<				germinule_one-seeded generative dispersule	protogynous	Unassisted dispersal	endochory_epichory	7	in larger groups	weeds and ruderal plants	large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	large variation (II)	large variation (II)	salt tolerant	small variation (I)		July	September	Pyxid				neophytes	spike-like panicle	panicle	mesomorphic	full	summer green	Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	edible			Exogenous	Chlorophyllian	diploid	entomogamous	anemogamous	unisexual and monoecious			Erosulate plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	104
108	Amaranthus spinosus L.							2		2	2		4		2	2		4		3			5																																			<							epichory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)									unisexual and monoecious					no special organ to store energy	crr		no vegetative dispersal parts		108
109	Amaranthus standleyanus Parodi ex Covas							2		2	2		4		2	1		4		3			5																																			<							anthropochory_epichory		scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	rrr		no vegetative dispersal parts		109
111	Amaranthus viridis L.							2		2	2		4		2	1		4		4			5																																			<							anthropochory_epichory		scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		August	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible								unisexual and monoecious					no special organ to store energy	rrr		no vegetative dispersal parts		111
118	Cotinus coggygria Scop.						9.35	2	4	3	2	7	4	3	1.5	1	3	2	7	4		8	4.5				44.2	0.199305	0.513465			459.783973693848			397.191660394055			19.440838098526					15		40	200	190	250			1.45	4.625	9.245	2.75	20.8744001283738			>				generative dispersule		Endozoochory	dysochory_meteorochory	6	scattered	forest plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	June	Drupe				presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	raceme of racemes	raceme	mesomorphic	pinnate	summer green	Chamaephyte_Phanerophyte	pluriennial	decidous	indifferent (urbanoneutral)	poisonous for individual animal species			Indigenous	Chlorophyllian	diploid		entomogamous	polysexual			Erosulate plant		thick lignified main roots	ccc		basal lateral shoots	Frutescent	118
120	Pistacia lentiscus L.							2		3	2		4		1	1		2		3			5																	12																		=							endochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt dependant	small variation (I)		April	June					idiochorophytes or indigenes						Phanerophyte		evergreen	moderately close to nature (moderately urbanophobous)	medicinal								unisexual and dioecious					thick lignified main roots	ccc		basal lateral shoots		120
122	Pistacia terebinthus L.							2		3	2	8	4		1	1		1.5		4			5				27.8475	0.35312	0.72545			500.043563842773			484.071322489273			11.8727028369904		12					150	155	165	500					39.385		7.66241064030604			=						Endozoochory	endochory	6	scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	July	Drupe				idiochorophytes or indigenes	simple raceme	raceme				Phanerophyte		decidous	moderately close to nature (moderately urbanophobous)	medicinal			Indigenous	Chlorophyllian				unisexual and dioecious	Polycarpic				thick lignified main roots	ccc		basal lateral shoots	Frutescent	122
127	Rhus hirta (L.) Sudworth							2		2	2		4		2	1		3		3			4.5																	100																		<							meteorochory		in larger stands	pioneer plants of low elevation	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	July					"invasive neophytes (""agressive"")"						Phanerophyte		decidous	moderatly hemerobic (moderately urbanophilous)	edible							entomogamous	unisexual and dioecious					thick lignified main roots	ccc		root shoots		127
139	Aegopodium podagraria L.	5	3		0.5			1	3	3	2	5	2	6	3.5	1	7	4	7	3	0	5	3.5	2000			123.18	0.7535581651							246						3		11	3	40	72.25	58	85	2.5	2	1.085	3.8	1.59	1.145	27.8		little to intermediate forage value	<	Rooting stems	Stem-derived rhizomes		generative dispersule	protandrous	Unassisted dispersal	myrmecochory	7	in larger stands	forest plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	July	Achene		intolerant to sensitive		idiochorophytes or indigenes	umbel of umbellules	umbel	hygromorphic_mesomorphic	bipinnate	summer green	Geophyte_Hemicryptophyte	pluriennial	partly wintergreen	indifferent (urbanoneutral)	edible_medicinal	moderately tolerant to well tolerant		Indigenous	Chlorophyllian	tetraploid		entomogamous_ornithophilous	polysexual			Hemirosette plant		inconspicuous reserve organ	ccc	no	below-ground runners	Herbaceous	139
140	Aethusa cynapium L.		1					1	3	3	2	6	4	4.5	3	2	6	4	7.5	4	0	6	3				18.145	0.08619929428							195.5								10.5		30	52.5	51.5	50	2.5	4	1.15	3.3	1.633	2.23	29.1			=				generative dispersule	homogamous_protandrous_protogynous	Unassisted dispersal	anthropochory_meteorochory	7	in larger groups	weeds and ruderal plants	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		June	October	Achene	Chilling				umbel of umbellules	umbel	mesomorphic	bipinnate	persistent green	Therophyte	annual	wintergreen	moderatly hemerobic (moderately urbanophilous)	weakly to moderately poisonous		Arbuscular AM	Indigenous	Chlorophyllian	diploid			hermaphroditic and normal sexual	Monocarpic		Erosulate plant_Hemirosette plant		no special organ to store energy	crr	yes	no vegetative dispersal parts	Herbaceous	140
144	Aethusa cynapium L. subsp. elata Hoffm. ex Sch³bl. & Martens							1		3	2	5	4		3	2		4		4			3																						70		80	100	2.5	4								=						Unassisted dispersal	anthropochory_meteorochory	7	in larger groups	weeds and ruderal plants	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		June	October	Achene										Hemicryptophyte_Therophyte		wintergreen	moderatly hemerobic (moderately urbanophilous)	weakly to moderately poisonous			Indigenous	Chlorophyllian				hermaphroditic and normal sexual					no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	144
149	Ammi majus L.							2	3	2	2	7.5	4	4	2	1	7	3.5	8	3		8	5				0.8	0.00215							141.94								11		40	45.5	55	70			0.62	2.02	0.556	0.76	34.31			=				generative dispersule_one-seeded generative dispersule	protandrous	Unassisted dispersal	anthropochory	2	scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	October	Achene				presumably indigenous in some areas of the study region and widely spread later but before 1500 AD	umbel of umbellules	umbel	mesomorphic_scleromorphic	pinnate		Therophyte	annual	decidous	strictly hemerobic (strictly urbanophilous)	weakly to moderately poisonous			Indigenous	Chlorophyllian	diploid		entomogamous	facultatively apomictic_hermaphroditic and normal sexual	Monocarpic		Hemirosette plant		root swelling	crr		no vegetative dispersal parts	Herbaceous	149
154	Anethum graveolens L.							1		4	2		4		2	2		3		3			5																																			=							anthropochory		scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	October					archaeophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible_medicinal						entomogamous	entomogamous	hermaphroditic and normal sexual					root swelling	crr		no vegetative dispersal parts		154
156	Angelica archangelica L.							1		3	2		3		4.5	2		4		3			2.5																		2																	<							meteorochory		scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		June	August					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD						Hemicryptophyte		partly wintergreen	indifferent (urbanoneutral)	edible_medicinal						entomogamous	entomogamous						root swelling	ccs		no vegetative dispersal parts		156
161	Angelica sylvestris L.											6						3																																																3																																															161
162	Anthriscus caucalis M. Bieb.							2	2	2	2	7	3	5	3	1	5.5	4	6	2	0	6	5				32.3	0.08863							166.63								8		15	43.25	38	40		3	0.85	3.77	1.21	0.96	33.945			<					homogamous	Exozoochory	anthropochory_epichory	6	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	June	Achene				presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	umbel of umbellules	umbel	mesomorphic	bipinnate	overwintering green	Therophyte	annual	decidous	indifferent (urbanoneutral)	edible			Indigenous	Chlorophyllian	diploid	entomogamous	autogamous	polysexual			Hemirosette plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	162
163	Anthriscus cerefolium (L.) Hoffm.							2	6	4	2	5.5	3	5	3	1	8	5		3		7	4				5.92	0.010825							168.15								9		35	43.5	40	60			0.68	8.09	2.174	0.81	52.68			=				generative dispersule	protandrous	Unassisted dispersal	boleochory_epichory	2	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	August	Achene				archaeophytes	umbel of umbellules	umbel	hygromorphic_mesomorphic	bipinnate	overwintering green	Therophyte	annual	decidous_partly wintergreen	strictly hemerobic (strictly urbanophilous)	edible_medicinal			Exogenous	Chlorophyllian	diploid	entomogamous	entomogamous	polysexual			Hemirosette plant		no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	163
167	Anthriscus nitida (Wahlenb.) Garcke							2	4	2	2	4.5	2	6	4	2	8	3.5	8	4		4	2.5				82.84	0.449595							215.765						3		8		60		69	90			1	7.43	3.358	1.02	21.825			=					protandrous	Unassisted dispersal	endochory_epichory	2	in larger groups	forest plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		May	June	Achene				idiochorophytes or indigenes	umbel of umbellules	umbel	hygromorphic	bipinnate	summer green	Hemicryptophyte	pluriennial	partly wintergreen	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian	diploid		entomogamous	polysexual			Hemirosette plant		root swelling	ccs		bulbs	Herbaceous	167
